activities,amountRaised,campaignTitle,currencyType,goal,mediaCount,numberContributors,percent_complete,period,timeLeft,updates
21,980,Three dogs on death row for medical need help!,U.S. Dollar,of $700 goal,(1),21,140%,"Years running
					,
				",4,0
21,390,Help a Dedicated Volunteers loved Pupo,U.S. Dollar,of $3k goal,(1),21,13%,"days left
					,
				",0,1
26,500,Help treat Tod for heartworm!,U.S. Dollar,of $500 goal,(1),21,100%,"days left
					,
				",0,1
1,250,HELP SAVE MARMADUKE,U.S. Dollar,of $250 goal,(2),1,100%,"days left
					,
				",0,1
72,"1,645",Saving Hogles Wood,Pound Sterling,of £1.6k goal,(1),68,103%,"Years running
					,
				",4,0
5,420,Mbwa Wa Africa - Help Building a Quarantine Kennel,U.S. Dollar,of $1.8k goal,(3),5,24%,"Years running
					,
				",4,3
91,"3,265",You Can Be Their Other Hero!,U.S. Dollar,of $5k goal,(6),91,65%,"Years running
					,
				",4,5
4,350,Let's save lives together!!!,U.S. Dollar,of $3k goal,(1),4,12%,"Years running
					,
				",4,0
23,720,Our Sunshine Girl Needs a Blood Transfusion,U.S. Dollar,of $2k goal,(1),23,36%,"Years running
					,
				",4,1
7,270,Help us help Buddy!,U.S. Dollar,of $250 goal,(1),7,108%,"days left
					,
				",0,0
42,"2,350",Please help us to get Tony and his dogs home.,U.S. Dollar,of $1.7k goal,(7),42,138%,"Years running
					,
				",4,3
7,670,Ana's vet bill,Pound Sterling,of £2k goal,(1),7,34%,"Years running
					,
				",4,1
89,"5,582",Help Save Riley,Euro,of €7k goal,(90),87,80%,"days left
					,
				",0,50
4,125,I will now be Jumping on the 24th May,Pound Sterling,of £600 goal,(1),4,21%,"Years running
					,
				",4,0
21,216,I  AM DESPERATELY IN NEED OF HELP DONT LET ME DIE?,Pound Sterling,of £5k goal,(5),20,4%,"days left
					,
				",0,3
29,975,"Help save Mollie, my medical rescue service dog!",U.S. Dollar,of $2k goal,(2),27,49%,"Years running
					,
				",4,4
31,"1,021",Daisy's Dash 5k Animal Rescue Fund Raiser,U.S. Dollar,of $1.2k goal,(1),27,85%,"Years running
					,
				",4,0
171,"4,021",Nelo's Last Chance,U.S. Dollar,of $4k goal,(10),167,101%,"days left
					,
				",0,3
2,155,Help Sissy Defeat Heartworm Disease,U.S. Dollar,of $550 goal,(1),2,28%,"Years running
					,
				",4,0
10,200,Help With Bain's Rescue Effort: HEART Midlands,U.S. Dollar,of $200 goal,(1),8,100%,"Years running
					,
				",4,0
2,"1,200",SPAY it Forward! PAWS Rescue Qatar,U.S. Dollar,of $5k goal,(1),2,24%,"Years running
					,
				",4,0
16,356,"Shelter Guardians, Inc. New Project",U.S. Dollar,of $300 goal,(2),16,119%,"days left
					,
				",0,2
39,326,Please help us so we can get our rehabilitation,Pound Sterling,of £400 goal,(1),29,82%,"Years running
					,
				",4,0
37,895,Help For Hope,Pound Sterling,of £500 goal,(4),34,179%,"Years running
					,
				",4,6
7,250,SAVE JAX,U.S. Dollar,of $250 goal,(2),6,100%,"days left
					,
				",0,3
10,200,Help Bailee's Rescue Effort-HEART of the Midlands,U.S. Dollar,of $200 goal,(1),8,100%,"Years running
					,
				",4,0
49,452,Please help me bring Catie to the UK.,Pound Sterling,of £1.5k goal,(9),48,30%,"Years running
					,
				",4,5
5,100,Scout the Corgi needs help!,U.S. Dollar,of $3.3k goal,(2),5,3%,"days left
					,
				",0,0
21,400,"Help with Levi's Rescue Effort-Fulton County, GA",U.S. Dollar,of $550 goal,(1),18,73%,"Years running
					,
				",4,0
17,405,**HENRY**,U.S. Dollar,of $350 goal,(1),17,116%,"days left
					,
				",0,1
15,701,Help the Geminites with their mounting vet bills!!,U.S. Dollar,of $600 goal,(3),15,117%,"days left
					,
				",0,1
95,"13,721",Help us Get Care to Homeless and Sick Animals,U.S. Dollar,of $12k goal,(3),95,114%,"days left
					,
				",0,4
11,365,MAY'S MILES OF LOVE FOR JOHNNY& JUNE PLEASE HELP,U.S. Dollar,of $1k goal,(5),8,37%,"days left
					,
				",0,2
44,"1,630",Blue's New Knees!,U.S. Dollar,of $1.5k goal,(1),39,109%,"days left
					,
				",0,0
9,260,Help us save Echo!,U.S. Dollar,of $250 goal,(2),9,104%,"days left
					,
				",0,2
14,950,Desperately Seeking Donations for Starr's Expenses,U.S. Dollar,of $5k goal,(5),14,19%,"Years running
					,
				",4,8
15,"1,200",Fundraiser for Ballistic Vest for K9 Jango,U.S. Dollar,of $1.2k goal,(1),15,100%,"days left
					,
				",0,0
45,"1,100",*~ DOLLARS FOR DOGS! ~*,U.S. Dollar,of $2k goal,(1),45,55%,"Years running
					,
				",4,0
88,"1,855",ANIMAL RESCUER LIVING IN CAR WITH HER 3 DOGS!,U.S. Dollar,of $2.5k goal,(2),67,74%,"days left
					,
				",0,2
32,"3,000",Help us send paralyzed Bob to his new home in USA,U.S. Dollar,of $3k goal,(7),28,100%,"days left
					,
				",0,4
15,253,Little Angels Rescue BG,Pound Sterling,of £300 goal,(5),15,84%,"Years running
					,
				",5,1
8,265,Helping Henry...,U.S. Dollar,of $250 goal,(1),7,106%,"days left
					,
				",0,0
22,"1,250","Fundraiser for K9 Sonny Hancock County Sheriff, OH",U.S. Dollar,of $1.2k goal,(1),22,104%,"days left
					,
				",0,0
6,300,HELP HEAL HOUND GIRL,U.S. Dollar,of $300 goal,(1),6,100%,"days left
					,
				",0,0
12,270,SAVE PAC,U.S. Dollar,of $250 goal,(1),12,108%,"days left
					,
				",0,0
3,"1,535",Help Miffy get the operation she needs on her paw,Swedish Krona,of kr28k goal,(1),3,5%,"Years running
					,
				",4,0
23,361,HELP NEPTUNE!!!,U.S. Dollar,of $300 goal,(1),23,120%,"Years running
					,
				",4,0
28,323,Ayuda con sus tratamientos de gusanos del corazón!,U.S. Dollar,of $900 goal,(1),28,36%,"Years running
					,
				",4,0
13,450,Medical bills for the rescue of Sargent Pepper,U.S. Dollar,of $1.7k goal,(12),13,27%,"Years running
					,
				",4,11
10,250,SAVE A207535,U.S. Dollar,of $250 goal,(1),10,100%,"days left
					,
				",0,1
17,515,SAVE A211683,U.S. Dollar,of $250 goal,(2),17,206%,"days left
					,
				",0,2
15,250,SAVE A211122,U.S. Dollar,of $250 goal,(1),13,100%,"days left
					,
				",0,1
14,495,Shelter Dogs Emergency Medical Fund,U.S. Dollar,of $1.5k goal,(4),13,33%,"Years running
					,
				",4,6
14,607,Please help these kittens fly to their USA homes,Euro,of €2.5k goal,(19),12,24%,"Years running
					,
				",4,12
12,250,SAVE A151772,U.S. Dollar,of $250 goal,(2),12,100%,"days left
					,
				",0,2
58,"2,150",Help provide a sick bay for Marmaris Pound..,Pound Sterling,of £1.9k goal,(4),56,114%,"Years running
					,
				",4,2
27,695,Two pups shot by their owner left for dead,U.S. Dollar,of $1k goal,(3),26,70%,"Years running
					,
				",4,7
15,700,Please help Izzy receive much needed eye surgery,U.S. Dollar,of $710 goal,(10),15,99%,"days left
					,
				",0,13
13,315,DIES TODAY,U.S. Dollar,of $250 goal,(2),12,126%,"days left
					,
				",0,2
115,"4,948",URGENT! PLEASE HELP JERSEY!!,U.S. Dollar,of $5k goal,(3),111,99%,"days left
					,
				",0,3
13,250,ALEX NEEDS HIS EYE REMOVED,U.S. Dollar,of $250 goal,(4),11,100%,"days left
					,
				",0,1
24,820,Nobody’s baby. A tale of two doggies.,U.S. Dollar,of $2k goal,(1),24,41%,"Years running
					,
				",4,0
13,200,PPFL Printing Fund #2,U.S. Dollar,of $200 goal,(1),12,100%,"days left
					,
				",0,0
11,360,Save Itchy,Pound Sterling,of £500 goal,(1),10,72%,"Years running
					,
				",4,0
37,"1,000",Desmond's 2nd Chance,U.S. Dollar,of $1k goal,(3),35,100%,"days left
					,
				",0,1
22,440,Seeking Support for Sam's HW Treatment,U.S. Dollar,of $400 goal,(7),22,110%,"days left
					,
				",0,9
8,185,Help little Paddy get out of animal control!,U.S. Dollar,of $500 goal,(1),8,37%,"days left
					,
				",0,1
8,260,Help Sally Mae receive Heartworm Treatment,U.S. Dollar,of $350 goal,(3),7,74%,"Years running
					,
				",4,1
18,577,Pekingese Severe Kidney Failure only 5 Years Old,U.S. Dollar,of $577 goal,(1),11,100%,"days left
					,
				",0,1
9,345,Stella,U.S. Dollar,of $1.3k goal,(7),8,27%,"Years running
					,
				",4,3
17,"1,020",SoCo Rescue facing a crisis,U.S. Dollar,of $11.5k goal,(1),17,9%,"days left
					,
				",0,0
5,470,Send a Valentine's day gift of Hay!!,U.S. Dollar,of $1.5k goal,(2),5,31%,"days left
					,
				",0,2
26,470,JAX NEEDS his eye removed ASAP!!,U.S. Dollar,of $600 goal,(4),26,78%,"days left
					,
				",0,2
14,260,PLEASE HELP WITH AXEL!  Saved from death row!,U.S. Dollar,of $300 goal,(1),14,87%,"Years running
					,
				",4,0
12,600,Saluki puppy found in the Dubai desert now sick,U.S. Dollar,of $1k goal,(2),11,60%,"days left
					,
				",0,1
10,320,Big Man needs just a Little Help,U.S. Dollar,of $350 goal,(2),10,91%,"days left
					,
				",0,0
4,750,Financial Assistance w/ Starr's Catheter Procedure,U.S. Dollar,of $700 goal,(6),4,107%,"Years running
					,
				",4,5
23,"1,046",Save a cat's life!  Sponsor a barn cat!!,U.S. Dollar,of $4k goal,(41),22,26%,"days left
					,
				",0,34
9,550,Help save these little angels!,U.S. Dollar,of $5k goal,(1),8,11%,"days left
					,
				",0,0
7,150,Help with Cody's Rescue Effort!,U.S. Dollar,of $150 goal,(1),7,100%,"days left
					,
				",0,0
47,"2,630",Help Severely Neglected KIKO w/ His Care & Therapy,U.S. Dollar,of $2.5k goal,(60),46,105%,"Years running
					,
				",5,36
13,310,WALNUT NEEDS SURGERY - REMOVING ROD FROM LEG,U.S. Dollar,of $300 goal,(3),13,103%,"days left
					,
				",0,2
25,750,EMERGENCY SURGERY FOR HUEY,U.S. Dollar,of $750 goal,(3),25,100%,"days left
					,
				",0,3
8,225,Help With Nina's Rescue Effort!,U.S. Dollar,of $225 goal,(1),8,100%,"days left
					,
				",0,0
2,175,Help Feed Rescue Dogs,U.S. Dollar,of $165 goal,(1),2,106%,"days left
					,
				",0,0
10,330,HELP SAVE THIS PREGNANT DOG,U.S. Dollar,of $300 goal,(1),9,110%,"days left
					,
				",0,1
8,400,May's Miles of Love,U.S. Dollar,of $400 goal,(2),8,100%,"days left
					,
				",0,4
12,290,URGENT BLACK DOG!,U.S. Dollar,of $250 goal,(1),10,116%,"days left
					,
				",0,1
62,"1,540",Mac has been hospitalized,U.S. Dollar,of $9.4k goal,(7),51,16%,"Years running
					,
				",5,8
8,260,SAVE WINNIE,U.S. Dollar,of $250 goal,(1),7,104%,"days left
					,
				",0,1
24,"2,010",Manitou's fight of his life,Canadian Dollar,of $3.7k goal,(7),24,54%,"Years running
					,
				",4,7
11,625,Marley needs Heart Worm Treatment,U.S. Dollar,of $375 goal,(1),11,167%,"Years running
					,
				",4,0
5,192,Maple Leaf Acres Pig Sanctuary,Canadian Dollar,of $2k goal,(21),5,10%,"Years running
					,
				",4,15
7,165,Trixie - vetting/boarding/transport funding needed,U.S. Dollar,of $600 goal,(5),6,28%,"days left
					,
				",0,1
9,250,SAVE A209470,U.S. Dollar,of $250 goal,(1),9,100%,"days left
					,
				",0,1
11,259,SAVE A196405,U.S. Dollar,of $250 goal,(1),11,104%,"days left
					,
				",0,1
5,107,Got Ferals?,U.S. Dollar,of $3k goal,(2),4,4%,"Years running
					,
				",5,4
10,210,Pups in a kill shelter need rescue funds!!,U.S. Dollar,of $600 goal,(1),10,35%,"days left
					,
				",0,0
20,"1,170",Loonies for Love...,Canadian Dollar,of $500 goal,(13),18,234%,"days left
					,
				",0,11
14,370,In Animal Control facility! HELP Save KINO,U.S. Dollar,of $350 goal,(1),14,106%,"days left
					,
				",0,1
9,455,Help Runaway Get Life-Saving Surgery!,U.S. Dollar,of $700 goal,(4),9,65%,"days left
					,
				",0,2
5,120,5 Hours of Surgery on 6.5 Lb Pup!,U.S. Dollar,of $505 goal,(1),5,24%,"Years running
					,
				",4,0
3,210,Help Save Diezel's Life!,U.S. Dollar,of $500 goal,(1),3,42%,"Years running
					,
				",4,0
1,"2,000",Please Help Purr Haven Cats Replenish Supplies,Philippine Peso,of ₱15k goal,(1),1,13%,"days left
					,
				",0,0
14,300,Parvo pup needs funds for survival!,U.S. Dollar,of $500 goal,(4),14,60%,"days left
					,
				",0,4
14,365,Please Help Fund Surgery For Two Awesome Dogs!,U.S. Dollar,of $800 goal,(3),14,46%,"Years running
					,
				",4,1
63,"2,555",Please help rehab our SPECIAL NEEDS BABY BULLDOG!,U.S. Dollar,of $2.5k goal,(1),63,102%,"Years running
					,
				",4,0
48,"3,050",PLEASE HELP BLUE AND OTHERS LIKE HIM!!,U.S. Dollar,of $5k goal,(9),48,61%,"days left
					,
				",0,3
35,"1,150",We really need help to fix Bear!,Pound Sterling,of £3k goal,(9),34,38%,"days left
					,
				",0,10
80,"5,695",Help raise funds for the ISO building at LAPS,U.S. Dollar,of $40k goal,(5),79,14%,"days left
					,
				",0,8
13,625,Help fern with life saving surgery!,U.S. Dollar,of $750 goal,(3),11,83%,"Years running
					,
				",4,6
10,200,"Help Philip Save the ""Children of the Rainforest""",U.S. Dollar,of $6k goal,(1),7,3%,"Years running
					,
				",7,0
6,240,Saving Smokey and Bandit,U.S. Dollar,of $300 goal,(1),6,80%,"Years running
					,
				",4,0
23,780,Brewster's Kickin' Distemper in the REAR!,U.S. Dollar,of $2.5k goal,(4),22,31%,"days left
					,
				",0,3
71,"2,277",Chewed her own paw off & was Left Behind Wal-mart,U.S. Dollar,of $2k goal,(5),68,114%,"Years running
					,
				",4,4
15,440,Help Send Rescue Dogs from SC to Massachusetts,U.S. Dollar,of $440 goal,(1),13,100%,"days left
					,
				",0,0
5,150,Oscar,U.S. Dollar,of $150 goal,(1),5,100%,"days left
					,
				",0,0
8,390,Help us treat these sweet boys for heartworm!,U.S. Dollar,of $1.2k goal,(1),8,33%,"Years running
					,
				",4,1
6,235,Mexico Orphaned Puppies!,U.S. Dollar,of $2k goal,(1),6,12%,"Years running
					,
				",4,0
6,130,"Snowball""s medical fund",U.S. Dollar,of $600 goal,(3),6,22%,"Years running
					,
				",4,2
241,"7,624",Sadie needs the Mutt Militia!,U.S. Dollar,of $9k goal,(5),238,85%,"Years running
					,
				",4,2
14,405,Jacinda and her sisters need your help!,U.S. Dollar,of $800 goal,(4),14,51%,"days left
					,
				",0,2
9,285,Kitten Hattie needs her leg amputated!,U.S. Dollar,of $2k goal,(7),9,14%,"Years running
					,
				",4,3
39,665,EMERGENCY DIAMOND IS BACK,U.S. Dollar,of $1k goal,(1),36,67%,"days left
					,
				",0,2
93,"2,990",SWEET KARMA...SHOT IN THE HEAD AND LEFT TO DIE,U.S. Dollar,of $800 goal,(7),92,374%,"days left
					,
				",0,10
14,605,Help Blue get life saving therapy!,U.S. Dollar,of $1.1k goal,(3),14,55%,"Years running
					,
				",4,3
3,150,Help Dixie the Hound with Medical Expenses,U.S. Dollar,of $250 goal,(1),2,60%,"Years running
					,
				",4,0
18,345,Girls Support An Animal Shelter: Valentine $ Match,U.S. Dollar,of $300 goal,(1),16,115%,"days left
					,
				",0,1
9,250,SAVE A210999,U.S. Dollar,of $250 goal,(1),9,100%,"days left
					,
				",0,1
5,100,Ace needs your help,U.S. Dollar,of $12k goal,(2),5,1%,"Years running
					,
				",4,0
2,250,SAVE BETTY,U.S. Dollar,of $250 goal,(1),2,100%,"days left
					,
				",0,1
7,125,Operation Drop Trap,U.S. Dollar,of $300 goal,(1),6,42%,"days left
					,
				",0,0
8,350,SAVE A202750,U.S. Dollar,of $250 goal,(1),8,140%,"days left
					,
				",0,1
23,845,The Critters Need You,U.S. Dollar,of $1.5k goal,(14),23,56%,"Years running
					,
				",4,3
23,522,Isle of Wight Dog Rehoming,Pound Sterling,of £1k goal,(1),22,52%,"Years running
					,
				",4,0
5,275,Help feed Theo and friends this winter!,Canadian Dollar,of $5k goal,(1),5,6%,"days left
					,
				",0,2
6,325,Help With Dj's Rescue Effort!,U.S. Dollar,of $250 goal,(1),6,130%,"days left
					,
				",0,0
1,250,SAVE A210403,U.S. Dollar,of $250 goal,(1),1,100%,"days left
					,
				",0,1
2,250,SAVE A210453,U.S. Dollar,of $250 goal,(1),2,100%,"days left
					,
				",0,1
13,275,SAVE 210517,U.S. Dollar,of $250 goal,(1),13,110%,"days left
					,
				",0,1
15,640,Feline Spay/Neuter Campaign,U.S. Dollar,of $1k goal,(2),15,64%,"Years running
					,
				",4,2
7,250,SAVE A207580,U.S. Dollar,of $250 goal,(1),7,100%,"days left
					,
				",0,1
2,100,Help us weather this cold winter's heat expenses,U.S. Dollar,of $4.8k goal,(1),2,2%,"days left
					,
				",0,0
9,220,Bucks for Buddy,U.S. Dollar,of $200 goal,(1),8,110%,"days left
					,
				",0,2
16,325,HELP FIONA SHARRON and MRFAS in this terrible time,Australian Dollar,of $10k goal,(7),10,3%,"Years running
					,
				",4,5
55,766,Wonkies Need Your Help,Pound Sterling,of £1.5k goal,(10),55,51%,"days left
					,
				",0,10
164,"5,030",Lilly's Third Chance.....,U.S. Dollar,of $5k goal,(4),159,101%,"Years running
					,
				",4,2
50,"1,850",Truman the Corgi needs help!,U.S. Dollar,of $5.5k goal,(2),50,34%,"days left
					,
				",0,0
5,175,**Archie** MUST BE SAVED BY MARCH 3RD!,U.S. Dollar,of $400 goal,(1),5,44%,"days left
					,
				",0,0
8,540,Heartworm Treatment for Missy,U.S. Dollar,of $1k goal,(4),6,54%,"Years running
					,
				",5,1
14,515,Help Home for Stray Cats be a legal organization,U.S. Dollar,of $650 goal,(2),14,79%,"Years running
					,
				",4,1
6,225,Help with Bentley's Rescue Effort and Vet Expenses,U.S. Dollar,of $225 goal,(1),5,100%,"Years running
					,
				",4,0
26,980,We are low on Funds & Dumpster Puppy Needs help!,U.S. Dollar,of $1.5k goal,(1),26,65%,"Years running
					,
				",4,0
5,110,Get Odin 2 Oz!,Pound Sterling,of £2k goal,(2),5,6%,"Years running
					,
				",4,4
4,150,"Help Annie Animal ID 15-0281 Chesterfield, SC",U.S. Dollar,of $150 goal,(1),4,100%,"Years running
					,
				",4,0
39,"3,935",Make Your Donation Go Twice As Far for Maui's Pets,U.S. Dollar,of $2k goal,(2),39,197%,"days left
					,
				",0,0
71,"2,008",Gidget's Fight for Life,U.S. Dollar,of $2.5k goal,(5),70,80%,"Years running
					,
				",4,3
10,250,SAVE BLAKELY,U.S. Dollar,of $250 goal,(1),10,100%,"days left
					,
				",0,0
11,425,Please help us pay Callie's ER bill.,U.S. Dollar,of $2k goal,(1),11,21%,"Years running
					,
				",4,0
9,250,SAVE MARCH,U.S. Dollar,of $250 goal,(1),9,100%,"days left
					,
				",0,0
4,160,Saving Tuffy,U.S. Dollar,of $125 goal,(1),4,128%,"days left
					,
				",0,0
62,"2,000",Help for Nika's  Medical Bills !,U.S. Dollar,of $2k goal,(6),60,100%,"days left
					,
				",0,3
11,440,Help Transport 5 Rescue Dogs and Cats,U.S. Dollar,of $440 goal,(1),7,100%,"Years running
					,
				",4,0
8,160,James and Jesse,U.S. Dollar,of $200 goal,(1),8,80%,"Years running
					,
				",4,0
10,370,Help Us Care for Homeless Dogs & Cats,U.S. Dollar,of $1k goal,(1),10,37%,"Years running
					,
				",7,0
5,223,Papaya's Feline Leukemia and Boarding Fund,U.S. Dollar,of $200 goal,(1),5,112%,"days left
					,
				",0,0
106,"2,635",Helen's Hope,U.S. Dollar,of $2.5k goal,(10),105,105%,"Years running
					,
				",4,5
14,200,Help with Tucker & Bourbon's Rescue Effort,U.S. Dollar,of $450 goal,(1),7,44%,"Years running
					,
				",4,0
40,"1,060",Giving Peanut a Chance,U.S. Dollar,of $1k goal,(1),39,106%,"Years running
					,
				",4,3
16,850,TOBY EMERGENCY,U.S. Dollar,of $800 goal,(1),13,106%,"days left
					,
				",0,1
80,"2,185",Lilac's Last Chance,U.S. Dollar,of $2k goal,(5),78,109%,"days left
					,
				",0,3
9,535,Animal Nation Sphynx Brothers Medical Funds,U.S. Dollar,of $2.5k goal,(4),9,21%,"days left
					,
				",0,3
7,575,Scout's Back Surgery Relief Fund,U.S. Dollar,of $3k goal,(3),7,19%,"Years running
					,
				",5,2
16,580,Please help Calla get her life saving surgery!,U.S. Dollar,of $500 goal,(1),16,116%,"Years running
					,
				",4,0
48,"1,002",Phoenix's Fight,U.S. Dollar,of $1k goal,(2),47,100%,"days left
					,
				",0,1
13,320,"Vamos a viajar, ayúdanos",U.S. Dollar,of $800 goal,(1),13,40%,"days left
					,
				",0,0
37,"1,510",Help Save Tyson Animal ID 15-0216 - Amputation,U.S. Dollar,of $1.4k goal,(1),27,104%,"Years running
					,
				",4,0
2,250,Help Save Mikey!,U.S. Dollar,of $250 goal,(1),2,100%,"days left
					,
				",0,0
9,315,Help Save Potter!,U.S. Dollar,of $250 goal,(1),9,126%,"days left
					,
				",0,0
8,250,Help us save Erika!,U.S. Dollar,of $250 goal,(1),8,100%,"days left
					,
				",0,0
10,250,Help save Tex!,U.S. Dollar,of $250 goal,(1),10,100%,"days left
					,
				",0,1
15,260,Help us save Avalon!,U.S. Dollar,of $250 goal,(2),14,104%,"days left
					,
				",0,1
11,107,End the rampant captive dolphin trade in Indonesia,Pound Sterling,of £1.5k goal,(4),10,7%,"days left
					,
				",0,2
12,270,SAVE A201052,U.S. Dollar,of $250 goal,(1),10,108%,"days left
					,
				",0,1
29,"1,725",HELP THIS LITTLE SURVIVOR,U.S. Dollar,of $15k goal,(15),29,12%,"Years running
					,
				",5,11
20,510,SAVE SLIM,U.S. Dollar,of $500 goal,(1),16,102%,"days left
					,
				",0,1
29,810,Monroe Co Urgents time's up 3-17-15!!,U.S. Dollar,of $3k goal,(1),28,27%,"days left
					,
				",0,2
12,315,Please help the dogs of NEHS get to RI!,U.S. Dollar,of $3k goal,(1),11,11%,"Years running
					,
				",4,0
6,235,Dental Care and Vet Fund for Reni,U.S. Dollar,of $750 goal,(1),5,31%,"Years running
					,
				",4,0
18,500,Doc McStuffin Needs Tumor Removal Surgery,U.S. Dollar,of $500 goal,(6),18,100%,"days left
					,
				",0,3
9,250,Help Save Blackie!,U.S. Dollar,of $250 goal,(2),9,100%,"days left
					,
				",0,1
7,520,Fundraiser K-9 Jax Anderson Police Department,U.S. Dollar,of $500 goal,(1),7,104%,"days left
					,
				",0,0
10,375,Help Sekkie!,U.S. Dollar,of $2.5k goal,(1),10,15%,"Years running
					,
				",4,0
44,"1,171",Saving Dreyfus the little pug,U.S. Dollar,of $1k goal,(1),43,117%,"Years running
					,
				",4,0
8,"1,270",Help Me Raise Funds to Cover Lucy's Vet Costs,Canadian Dollar,of $8k goal,(4),8,16%,"Years running
					,
				",5,6
5,245,PARALYZED POOH BEAR NEEDS YOUR HELP...,U.S. Dollar,of $200 goal,(1),5,123%,"days left
					,
				",0,0
14,310,Help us save Black!,U.S. Dollar,of $250 goal,(1),14,124%,"days left
					,
				",0,0
10,520,Emergency!  Lil Bit will need help with medical!,U.S. Dollar,of $1k goal,(1),8,52%,"Years running
					,
				",4,0
3,250,Help Save Dominic URGENT LIST Chesterfield 15-0225,U.S. Dollar,of $255 goal,(1),3,98%,"Years running
					,
				",4,0
17,"1,250",Help with the cost of animal rescue,U.S. Dollar,of $5k goal,(1),17,25%,"Years running
					,
				",5,3
7,250,Help Save Goodie URGENT LIST ID 15-0034 SC,U.S. Dollar,of $250 goal,(1),7,100%,"Years running
					,
				",4,0
19,"1,788",Hugo Needs a Hero - Surgery - Recovery Fund,U.S. Dollar,of $3k goal,(1),18,60%,"Years running
					,
				",5,0
7,245,Operation Save Willow,U.S. Dollar,of $230 goal,(1),7,107%,"Years running
					,
				",4,3
1,100,Hendersonville Dog Park,U.S. Dollar,of $4.5k goal,(1),1,2%,"Years running
					,
				",5,0
22,520,Help treat Avalon for heartworm!,U.S. Dollar,of $500 goal,(2),22,104%,"days left
					,
				",0,1
42,"1,525",Urgent Help Needed,U.S. Dollar,of $2.5k goal,(5),42,61%,"Years running
					,
				",4,1
26,"2,100",Help Blue Get back on his PAWS,U.S. Dollar,of $4k goal,(2),26,53%,"Years running
					,
				",4,4
12,250,SAVE A211794,U.S. Dollar,of $250 goal,(2),11,100%,"days left
					,
				",0,2
9,310,SAVE HADEES,U.S. Dollar,of $250 goal,(1),7,124%,"days left
					,
				",0,1
5,190,Tyler & Zeus Saved Each Other...Please help!,U.S. Dollar,of $1k goal,(1),5,19%,"Years running
					,
				",4,1
15,250,SAVE A211434,U.S. Dollar,of $250 goal,(2),13,100%,"days left
					,
				",0,2
14,250,SAVE A210872,U.S. Dollar,of $250 goal,(1),13,100%,"days left
					,
				",0,1
13,505,Please help with Matilda's veterinary care,U.S. Dollar,of $4k goal,(1),13,13%,"Years running
					,
				",4,2
11,250,SAVE A212019,U.S. Dollar,of $250 goal,(1),9,100%,"days left
					,
				",0,1
17,"1,000",Save Cats! Please Support  our TNR Program,U.S. Dollar,of $1k goal,(1),12,100%,"days left
					,
				",0,3
10,280,Help fix Toby's legs,U.S. Dollar,of $8k goal,(7),10,4%,"Years running
					,
				",4,9
14,250,SAVE A212083,U.S. Dollar,of $250 goal,(1),13,100%,"days left
					,
				",0,1
4,165,Please Help Deli Pay For Her 2 Hip Surgeries,U.S. Dollar,of $10k goal,(7),4,2%,"Years running
					,
				",4,8
21,390,SMOKEY IS CRITICAL,U.S. Dollar,of $1k goal,(3),21,39%,"days left
					,
				",0,3
41,"1,220",Look into the eyes of an animal...feel a soul,U.S. Dollar,of $1.2k goal,(12),39,102%,"days left
					,
				",0,6
51,"1,635",Please Help the Nursemare Foals!,U.S. Dollar,of $2k goal,(8),49,82%,"Years running
					,
				",4,3
4,300,Please help with Little One's surgery costs,U.S. Dollar,of $1k goal,(1),4,30%,"Years running
					,
				",4,1
8,250,Help us save Sampson!,U.S. Dollar,of $250 goal,(1),6,100%,"days left
					,
				",0,0
8,195,Help with Sunny’s Medical and Legal Expenses,U.S. Dollar,of $2k goal,(5),8,10%,"days left
					,
				",0,7
8,260,SAVE SALLY,U.S. Dollar,of $250 goal,(1),6,104%,"days left
					,
				",0,0
6,850,MPBF.org :: Help Brutus Pay For His ACL Surgery,U.S. Dollar,of $810 goal,(1),6,105%,"days left
					,
				",0,0
2,260,SAVE SAINT,U.S. Dollar,of $250 goal,(1),2,104%,"days left
					,
				",0,0
5,250,SAVE OREO,U.S. Dollar,of $250 goal,(1),4,100%,"days left
					,
				",0,1
32,"4,171",Help Save Hugo!,Canadian Dollar,of $4.5k goal,(2),29,93%,"days left
					,
				",0,2
9,320,Bandit & Percy - Our Angels in Need,U.S. Dollar,of $1.2k goal,(1),8,27%,"Years running
					,
				",4,0
11,250,Help us save Timmy!,U.S. Dollar,of $250 goal,(2),11,100%,"days left
					,
				",0,1
18,250,Help us save Dixie!,U.S. Dollar,of $250 goal,(1),16,100%,"days left
					,
				",0,1
6,260,Help us save Diesel!,U.S. Dollar,of $250 goal,(1),6,104%,"days left
					,
				",0,1
6,210,Help Rescue Scooby - vetting donations needed,U.S. Dollar,of $250 goal,(1),6,84%,"Years running
					,
				",4,0
2,100,Lulu Boo & Layla Jane,Pound Sterling,of £1k goal,(3),2,10%,"Years running
					,
				",4,2
7,175,AZUL WAS RUSHED TO THE EMERGENCY VET!,U.S. Dollar,of $600 goal,(1),7,29%,"Years running
					,
				",4,0
39,"1,315",Our Fluffies Need a Van,U.S. Dollar,of $44k goal,(2),39,3%,"Years running
					,
				",4,1
21,485,Help us get Cilla and Edward well again.,Pound Sterling,of £2k goal,(1),21,24%,"Years running
					,
				",4,0
26,475,Help Chance (ID K12) Get His Heartworm Treatment,U.S. Dollar,of $475 goal,(2),26,100%,"Years running
					,
				",4,1
